Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,194732.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,10678611.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",0
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,298845.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,0
1110100,PROPIEDAD PLANTA Y EQUIPO,6140.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,0
1122300,OTROS ACTIVOS FINANCIEROS,76416.00
1122400,OTROS ACTIVOS NO FINANCIEROS,89020.00
1999999,TOTAL DEL ACTIVO,11343764.00
2210999,CAPITAL,52178.00
2210300,AJUSTE DE CAPITAL,1479604.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,811580.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,811580.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,9386.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,2352748.00
2311000,DEPOSITOS,1370966.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",7292.00
2311300,PROVISIONES,59007.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,7248355.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,305396.00
2399999,TOTAL DEL PASIVO,8991016.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,11343764.00
3000100,INGRESOS POR INTERESES,4736853.00
3000200,EGRESOS POR INTERESES,-2892401.00
3000102,INGRESOS POR COMISIONES,4793.00
3000201,EGRESOS POR COMISIONES,-39516.00
3000101,CARGO POR INCOBRABILIDAD,-103785.00
3009999,INGRESO OPERATIVO NETO,1705944.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-4238.00
3011300,OTROS GASTOS DE ADMINISTRACION,-858909.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-5326.00
3021800,RECPAM,-819149.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,18322.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-8936.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,9386.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,9386.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-307668.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,0
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-307668.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),2343360.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0
8000007,SOLVENCIA,0.26
8000008,INMOVILIZACION DEL CAPITAL,0
8000009,RENTABILIDAD PATRIMONIO NETO,3.9
8000010,RENTABILIDAD DEL ACTIVO,0
8000011,ENDEUDAMIENTO,3.82
8000013,APALANCAMIENTO,4.82
8000014,MARGEN NETO / INGRESOS,2.45
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,0.01
