Nro,Rubro,Monto
8000017,ANALISIS DU-PONT,0.01
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2988.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,285.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,3273.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,1448.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,637578.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,639026.00
1999999,TOTAL DEL ACTIVO,642299.00
2210999,CAPITAL,181.00
2210300,AJUSTE DE CAPITAL,51509.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,121552.00
2211100,RESERVA LEGAL,10338.00
2211200,OTRAS RESERVAS,456183.00
2211999,GANANCIAS RESERVADAS,466521.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,31722.00
2213999,RESULTADOS INTEGRALES,-29260.00
2299999,TOTAL PATRIMONIO NETO,642225.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,72.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,74.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,0
2399999,TOTAL DEL PASIVO,74.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,642299.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,0
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,0
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-10.00
3011300,OTROS GASTOS DE ADMINISTRACION,-884.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-894.00
3021400,INGRESOS FINANCIEROS,72.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,16.00
3021900,OTROS RESULTADOS,32534.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,31728.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-6.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,31722.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-260.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,31462.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-723.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,352.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-371.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,637392.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,3199.00
8000006,LIQUIDEZ,44.23
8000007,SOLVENCIA,8678.72
8000008,INMOVILIZACION DEL CAPITAL,0.99
8000009,RENTABILIDAD PATRIMONIO NETO,0.05
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,0.00
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.00
8000013,APALANCAMIENTO,1.00
8000014,MARGEN NETO / VENTAS,0
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0
